url_hash,room_count,house_floors,apt_floor,price,sqm,sqm_price,apt_address,listed_date,removed_date,days_listed,view_count
afejp,2,5,3,47100,52,906,Nogāzes 2,2021.07.26,2021.08.08,12,
afcke,2,5,1,50000,45,1111,50 b,2021.07.23,2021.08.09,16,
afpgb,2,6,6,80000,53,1509,Mālkalnes 26,2021.07.22,2021.08.09,17,
dfgio,1,9,1,27500,23,1196,Ikšķiles 2,2021.07.23,2021.08.09,16,
dpldg,3,9,4,80000,61,1311,Ausekļa prospekts 4,2021.07.23,2021.08.10,17,
cefhh,1,9,8,33500,43,781,Tīnūžu iela 3a,2021.08.06,2021.08.11,4,
aeflx,2,5,1,34000,35,971,Skolas iela 1b,2021.07.25,2021.08.12,17,
ajhmh,2,9,6,60000,52,1154,Tinuzu 18,2021.07.28,2021.08.15,17,
akbol,3,6,4,87000,70,1243,Parka 1a 12,2021.07.26,2021.08.15,19,
gjxco,2,5,5,65000,54,1204,Lapu iela 4,2021.07.25,2021.08.15,20,
heidh,3,5,3,53000,60,883,Rīgas 6,2021.07.25,2021.08.15,20,
ehiob,2,5,1,30000,35,857,Skolas 1,2021.08.11,2021.08.16,4,
fnlnx,2,9,3,46000,49,939,Ausekļa prospekts 4,2021.08.05,2021.08.16,10,
clncf,1,5,5,35000,35,1000,Bērzu aleja 8,2021.08.09,2021.08.17,7,
fjfdb,3,3,3,87000,68,1279,Loka iela 2 23,2021.07.21,2021.08.18,27,
afpgb,2,6,6,80000,53,1509,Mālkalnes 26,2021.07.22,2021.08.19,27,
cdbbp,3,9,2,70000,63,1111,Ausekļa prospekts 15,2021.08.15,2021.08.19,3,
aeflx,2,5,1,34000,35,971,Skolas iela 1b,2021.07.25,2021.08.22,27,
hhixk,2,5,5,55000,52,1058,Lapu 4,2021.07.11,2021.08.22,41,
akbol,3,6,4,87000,70,1243,Parka 1a 12,2021.07.26,2021.08.23,27,
bpjfb,2,5,2,65000,49,1327,Mālkalnes prospekts 23,2021.08.09,2021.08.23,13,
cegid,3,6,2,95000,76,1250,Mednieku iela 24,2021.07.27,2021.08.24,27,
bidim,3,9,9,85000,62,1371,Zilokalnu pr. 20,2021.07.14,2021.08.25,41,
gphpk,1,5,4,28000,27,1037,Mālkalnes prospekts 15,2021.08.16,2021.08.25,8,
